"nr_num_surgical_masks","d_completed","cd_regio"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"60","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"65","2020-04-06","VLA"
"10","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"0","2020-04-06","VLA"
"","2020-04-06","BRU"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"320","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"30","2020-04-06","VLA"
"210","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"180","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"50","2020-04-06","VLA"
"40","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"15","2020-04-06","VLA"
"100","2020-04-06","VLA"
"100","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"250","2020-04-06","VLA"
"100","2020-04-06","VLA"
"400","2020-04-06","VLA"
"120","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"80","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"70","2020-04-06","VLA"
"1000","2020-04-06","VLA"
"10","2020-04-06","VLA"
"0","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"60","2020-04-06","BRU"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"120","2020-04-06","VLA"
"30","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"7","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"120","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"75","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"30","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"120","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"90","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","WAL"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"120","2020-04-06","VLA"
"250","2020-04-06","VLA"
"","2020-04-06","VLA"
"120","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"80","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"75","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"50","2020-04-06","VLA"
"10","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"21","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"20","2020-04-06","VLA"
"80","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"150","2020-04-06","VLA"
"90","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"65","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"300","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"300","2020-04-06","VLA"
"","2020-04-06","VLA"
"200","2020-04-06","VLA"
"30","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"120","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"100","2020-04-06","VLA"
"150","2020-04-06","BRU"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"1000","2020-04-06","VLA"
"150","2020-04-06","BRU"
"25","2020-04-06","VLA"
"0","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"120","2020-04-06","VLA"
"","2020-04-06","VLA"
"400","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"50","2020-04-06","VLA"
"250","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"90","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","WAL"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"6","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","WAL"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"0","2020-04-06","BRU"
"60","2020-04-06","VLA"
"20","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"33","2020-04-06","VLA"
"30","2020-04-06","VLA"
"60","2020-04-06","VLA"
"60","2020-04-06","VLA"
"600","2020-04-06","VLA"
"100","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"250","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"0","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"120","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"500","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"110","2020-04-06","VLA"
"","2020-04-06","VLA"
"180","2020-04-06","VLA"
"","2020-04-06","VLA"
"180","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"410","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"120","2020-04-06","VLA"
"100","2020-04-06","VLA"
"","2020-04-06","VLA"
"90","2020-04-06","VLA"
"30","2020-04-06","VLA"
"30","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"3600","2020-04-07","VLA"
"60","2020-04-07","VLA"
"100","2020-04-07","VLA"
"30","2020-04-07","VLA"
"","2020-04-07","BRU"
"50","2020-04-07","VLA"
"5","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"30","2020-04-07","VLA"
"","2020-04-07","VLA"
"36000","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","BRU"
"","2020-04-07","VLA"
"","2020-04-07","BRU"
"","2020-04-07","VLA"
"50","2020-04-07","VLA"
"30","2020-04-07","VLA"
"","2020-04-07","VLA"
"20","2020-04-07","VLA"
"100","2020-04-07","VLA"
"","2020-04-07","VLA"
"60","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"100","2020-04-07","VLA"
"60","2020-04-07","VLA"
"100","2020-04-07","BRU"
"40","2020-04-07","BRU"
"150","2020-04-07","VLA"
"50","2020-04-07","VLA"
"50","2020-04-07","BRU"
"30","2020-04-07","VLA"
"","2020-04-07","VLA"
"50","2020-04-07","VLA"
"50","2020-04-07","VLA"
"","2020-04-07","VLA"
"75","2020-04-07","VLA"
"","2020-04-07","BRU"
"","2020-04-07","VLA"
"60","2020-04-07","VLA"
"","2020-04-07","VLA"
"120","2020-04-07","VLA"
"30","2020-04-07","VLA"
"20","2020-04-07","VLA"
"","2020-04-07","VLA"
"60","2020-04-07","VLA"
"","2020-04-07","VLA"
"30","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","BRU"
"","2020-04-08","VLA"
"10","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"20","2020-04-08","VLA"
"","2020-04-08","VLA"
"24","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"40","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"30","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"30","2020-04-08","VLA"
"15","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"100","2020-04-08","VLA"
"","2020-04-08","VLA"
"100","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"1000","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"400","2020-04-08","VLA"
"400","2020-04-08","WAL"
"","2020-04-08","VLA"
"20","2020-04-08","VLA"
"","2020-04-08","VLA"
"60","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"50","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"100","2020-04-08","BRU"
"20","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"300","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"60","2020-04-08","VLA"
"31","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"18","2020-04-08","VLA"
"120","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"4","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"70","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"20","2020-04-08","VLA"
"100","2020-04-08","VLA"
"50","2020-04-08","VLA"
"","2020-04-08","VLA"
"60","2020-04-08","VLA"
"","2020-04-08","VLA"
"30","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"60","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"60","2020-04-09","WAL"
"150","2020-04-09","VLA"
"","2020-04-09","VLA"
"0","2020-04-09","VLA"
"","2020-04-09","VLA"
"2","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"50","2020-04-09","VLA"
"600","2020-04-09","VLA"
"60","2020-04-09","VLA"
"","2020-04-09","WAL"
"60","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"120","2020-04-09","WAL"
"","2020-04-09","WAL"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"500","2020-04-09","WAL"
"30","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"120","2020-04-09","WAL"
"30.000","2020-04-10","VLA"
"","2020-04-10","VLA"
"","2020-04-10","VLA"
"300","2020-04-10","VLA"
"","2020-04-10","VLA"
"15","2020-04-10","VLA"
"60","2020-04-10","WAL"
"","2020-04-10","VLA"
"","2020-04-10","VLA"
"5","2020-04-10","VLA"
"","2020-04-10","VLA"
"90","2020-04-10","VLA"
"","2020-04-10","VLA"
"30","2020-04-10","VLA"
"","2020-04-10","VLA"
"60","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"230","2020-04-13","VLA"
"","2020-04-13","WAL"
"","2020-04-13","VLA"
"20","2020-04-13","VLA"
"","2020-04-14","VLA"
"2","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"10","2020-04-15","VLA"
"30","2020-04-15","VLA"
"40","2020-04-15","VLA"
"","2020-04-15","VLA"
"18000","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"100","2020-04-15","VLA"
"60","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"0","2020-04-15","VLA"
"120","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","WAL"
"30","2020-04-15","VLA"
"30","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"30","2020-04-15","VLA"
"300","2020-04-15","VLA"
"","2020-04-15","VLA"
"1160","2020-04-15","VLA"
"","2020-04-15","VLA"
"150","2020-04-16","VLA"
"","2020-04-16","VLA"
"90","2020-04-16","VLA"
"","2020-04-16","VLA"
"20","2020-04-16","VLA"
"30","2020-04-16","VLA"
"30","2020-04-16","VLA"
"","2020-04-16","VLA"
"50","2020-04-17","VLA"
"","2020-04-17","VLA"
"","2020-04-17","VLA"
"180","2020-04-17","WAL"
"","2020-04-17","VLA"
"","2020-04-18","VLA"
"","2020-04-18","VLA"
"","2020-04-18","VLA"
"","2020-04-19","VLA"
"30","2020-04-20","VLA"
"150","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"30","2020-04-20","VLA"
"","2020-04-20","VLA"
"20","2020-04-20","VLA"
"18000","2020-04-20","VLA"
"","2020-04-20","VLA"
"60","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"5","2020-04-20","VLA"
"7","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"12","2020-04-20","VLA"
"45","2020-04-20","VLA"
