"cd_function","d_completed","cd_regio"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","BRU"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","WAL"
"1","2020-03-26","BRU"
"1","2020-03-26","WAL"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"2","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","BRU"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"3","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"2","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","BRU"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","WAL"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"3","2020-03-26","BRU"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"3","2020-03-26","BRU"
"1","2020-03-26","VLA"
"2","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"4","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"2","2020-03-26","WAL"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","WAL"
"4","2020-03-26","VLA"
"1","2020-03-26","WAL"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"2","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","BRU"
"2","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","WAL"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","BRU"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"3","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","WAL"
"1","2020-03-27","WAL"
"2","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"2","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"2","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","WAL"
"1","2020-03-27","BRU"
"2","2020-03-27","VLA"
"1","2020-03-27","WAL"
"2","2020-03-27","WAL"
"2","2020-03-27","WAL"
"1","2020-03-27","BRU"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"2","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","WAL"
"2","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","WAL"
"2","2020-03-27","WAL"
"2","2020-03-27","WAL"
"4","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","WAL"
"1","2020-03-27","BRU"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"2","2020-03-27","WAL"
"2","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","BRU"
"2","2020-03-27","BRU"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","WAL"
"2","2020-03-27","VLA"
"2","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","WAL"
"2","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","BRU"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"2","2020-03-27","VLA"
"2","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-28","BRU"
"1","2020-03-28","BRU"
"2","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","BRU"
"2","2020-03-28","BRU"
"2","2020-03-28","VLA"
"1","2020-03-28","VLA"
"2","2020-03-28","WAL"
"2","2020-03-28","BRU"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"2","2020-03-28","VLA"
"1","2020-03-28","WAL"
"2","2020-03-28","VLA"
"2","2020-03-28","WAL"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"2","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","BRU"
"2","2020-03-28","VLA"
"1","2020-03-28","BRU"
"1","2020-03-28","BRU"
"1","2020-03-28","VLA"
"2","2020-03-28","VLA"
"1","2020-03-28","WAL"
"2","2020-03-28","WAL"
"2","2020-03-29","VLA"
"1","2020-03-29","BRU"
"2","2020-03-29","BRU"
"2","2020-03-29","WAL"
"1","2020-03-29","VLA"
"1","2020-03-29","WAL"
"2","2020-03-29","VLA"
"1","2020-03-29","BRU"
"1","2020-03-29","WAL"
"1","2020-03-29","BRU"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"3","2020-03-29","VLA"
"2","2020-03-29","BRU"
"2","2020-03-29","VLA"
"1","2020-03-29","WAL"
"1","2020-03-30","WAL"
"1","2020-03-30","BRU"
"2","2020-03-30","WAL"
"2","2020-03-30","VLA"
"1","2020-03-30","WAL"
"1","2020-03-30","VLA"
"4","2020-03-30","VLA"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","BRU"
"4","2020-03-30","WAL"
"2","2020-03-30","WAL"
"1","2020-03-30","WAL"
"1","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","VLA"
"1","2020-03-30","VLA"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"1","2020-03-30","WAL"
"2","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","BRU"
"2","2020-03-30","WAL"
"1","2020-03-30","BRU"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"1","2020-03-30","VLA"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"1","2020-03-30","WAL"
"1","2020-03-31","VLA"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"1","2020-03-31","VLA"
"2","2020-03-31","WAL"
"1","2020-03-31","VLA"
"2","2020-03-31","WAL"
"1","2020-03-31","VLA"
"2","2020-03-31","VLA"
"2","2020-03-31","WAL"
"1","2020-03-31","VLA"
"1","2020-03-31","VLA"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"1","2020-03-31","WAL"
"1","2020-03-31","VLA"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"2","2020-03-31","WAL"
"1","2020-03-31","VLA"
"2","2020-04-01","BRU"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"1","2020-04-01","BRU"
"2","2020-04-01","BRU"
"1","2020-04-01","BRU"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","WAL"
"2","2020-04-01","VLA"
"1","2020-04-01","WAL"
"2","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"1","2020-04-01","VLA"
"2","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","BRU"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","WAL"
"2","2020-04-01","VLA"
"2","2020-04-01","WAL"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
