"cd_prod_to_patients","d_completed","cd_regio"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","BRU"
"1","2020-04-27","WAL"
"1","2020-04-27","WAL"
"1","2020-04-27","VLA"
"1","2020-04-27","WAL"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","WAL"
"2","2020-04-27","WAL"
"2","2020-04-27","WAL"
"2","2020-04-27","BRU"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"2","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","BRU"
"3","2020-04-27","WAL"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","WAL"
"4","2020-04-27","WAL"
"4","2020-04-27","VLA"
"4","2020-04-27","WAL"
"4","2020-04-27","VLA"
"4","2020-04-27","BRU"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"4","2020-04-27","VLA"
"5","2020-04-27","VLA"
"5","2020-04-27","VLA"
"5","2020-04-27","VLA"
"5","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","WAL"
"6","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"2","2020-04-28","VLA"
"2","2020-04-28","VLA"
"2","2020-04-28","VLA"
"2","2020-04-28","VLA"
"4","2020-04-28","VLA"
"4","2020-04-28","VLA"
"4","2020-04-28","VLA"
"6","2020-04-28","VLA"
"7","2020-04-28","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","WAL"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","WAL"
"1","2020-04-29","WAL"
"1","2020-04-29","WAL"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","BRU"
"1","2020-04-29","WAL"
"1","2020-04-29","VLA"
"1","2020-04-29","BRU"
"1","2020-04-29","BRU"
"1","2020-04-29","VLA"
"2","2020-04-29","WAL"
"2","2020-04-29","BRU"
"2","2020-04-29","BRU"
"2","2020-04-29","BRU"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","BRU"
"2","2020-04-29","BRU"
"2","2020-04-29","BRU"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","WAL"
"2","2020-04-29","WAL"
"2","2020-04-29","WAL"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","WAL"
"2","2020-04-29","WAL"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","WAL"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","BRU"
"3","2020-04-29","BRU"
"3","2020-04-29","WAL"
"3","2020-04-29","VLA"
"3","2020-04-29","BRU"
"4","2020-04-29","BRU"
"4","2020-04-29","BRU"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","WAL"
"4","2020-04-29","BRU"
"4","2020-04-29","BRU"
"4","2020-04-29","BRU"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","WAL"
"4","2020-04-29","WAL"
"4","2020-04-29","WAL"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","VLA"
"4","2020-04-29","WAL"
"4","2020-04-29","WAL"
"5","2020-04-29","VLA"
"5","2020-04-29","VLA"
"5","2020-04-29","BRU"
"5","2020-04-29","BRU"
"5","2020-04-29","VLA"
"6","2020-04-29","BRU"
"6","2020-04-29","BRU"
"6","2020-04-29","WAL"
"6","2020-04-29","VLA"
"6","2020-04-29","VLA"
"6","2020-04-29","VLA"
"6","2020-04-29","WAL"
"6","2020-04-29","VLA"
"6","2020-04-29","VLA"
"6","2020-04-29","VLA"
"6","2020-04-29","VLA"
"6","2020-04-29","VLA"
"6","2020-04-29","VLA"
"7","2020-04-29","VLA"
"7","2020-04-29","VLA"
"7","2020-04-29","WAL"
"7","2020-04-29","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","WAL"
"1","2020-04-30","BRU"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","WAL"
"1","2020-04-30","WAL"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"1","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","WAL"
"2","2020-04-30","WAL"
"2","2020-04-30","WAL"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","BRU"
"2","2020-04-30","WAL"
"2","2020-04-30","BRU"
"2","2020-04-30","BRU"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"2","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","BRU"
"3","2020-04-30","BRU"
"3","2020-04-30","VLA"
"3","2020-04-30","WAL"
"3","2020-04-30","WAL"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","WAL"
"4","2020-04-30","WAL"
"4","2020-04-30","WAL"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","WAL"
"4","2020-04-30","BRU"
"4","2020-04-30","BRU"
"4","2020-04-30","BRU"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"4","2020-04-30","VLA"
"5","2020-04-30","VLA"
"5","2020-04-30","BRU"
"5","2020-04-30","WAL"
"5","2020-04-30","VLA"
"6","2020-04-30","VLA"
"6","2020-04-30","VLA"
"6","2020-04-30","WAL"
"6","2020-04-30","VLA"
"6","2020-04-30","BRU"
"6","2020-04-30","VLA"
"6","2020-04-30","VLA"
"6","2020-04-30","VLA"
"7","2020-04-30","VLA"
"8","2020-04-30","WAL"
"1","2020-05-01","VLA"
"2","2020-05-01","VLA"
"3","2020-05-01","VLA"
"4","2020-05-01","VLA"
"1","2020-05-03","VLA"
"2","2020-05-03","VLA"
"3","2020-05-03","VLA"
"4","2020-05-03","VLA"
"5","2020-05-03","VLA"
"6","2020-05-03","VLA"
"7","2020-05-03","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","WAL"
"1","2020-05-04","BRU"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","WAL"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","WAL"
"1","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","WAL"
"2","2020-05-04","VLA"
"2","2020-05-04","WAL"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","WAL"
"2","2020-05-04","WAL"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","WAL"
"2","2020-05-04","BRU"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","WAL"
"3","2020-05-04","BRU"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","WAL"
"3","2020-05-04","WAL"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","WAL"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","WAL"
"4","2020-05-04","VLA"
"4","2020-05-04","WAL"
"4","2020-05-04","WAL"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","VLA"
"4","2020-05-04","BRU"
"4","2020-05-04","VLA"
"5","2020-05-04","BRU"
"5","2020-05-04","VLA"
"5","2020-05-04","VLA"
"5","2020-05-04","WAL"
"5","2020-05-04","VLA"
"5","2020-05-04","VLA"
"5","2020-05-04","VLA"
"5","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","WAL"
"6","2020-05-04","WAL"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","VLA"
"6","2020-05-04","WAL"
"6","2020-05-04","VLA"
"7","2020-05-04","WAL"
"7","2020-05-04","VLA"
"7","2020-05-04","VLA"
"7","2020-05-04","VLA"
"8","2020-05-04","VLA"
"1","2020-05-05","VLA"
"1","2020-05-05","VLA"
"1","2020-05-05","VLA"
"1","2020-05-05","VLA"
"1","2020-05-05","VLA"
"1","2020-05-05","WAL"
"1","2020-05-05","VLA"
"2","2020-05-05","VLA"
"2","2020-05-05","WAL"
"2","2020-05-05","VLA"
"2","2020-05-05","VLA"
"2","2020-05-05","VLA"
"2","2020-05-05","VLA"
"2","2020-05-05","VLA"
"3","2020-05-05","VLA"
"3","2020-05-05","VLA"
"3","2020-05-05","VLA"
"3","2020-05-05","WAL"
"3","2020-05-05","VLA"
"4","2020-05-05","VLA"
"4","2020-05-05","WAL"
"4","2020-05-05","VLA"
"4","2020-05-05","VLA"
"4","2020-05-05","VLA"
"4","2020-05-05","VLA"
"4","2020-05-05","VLA"
"5","2020-05-05","VLA"
"5","2020-05-05","VLA"
"5","2020-05-05","WAL"
"6","2020-05-05","VLA"
"6","2020-05-05","VLA"
"6","2020-05-05","VLA"
"6","2020-05-05","VLA"
"8","2020-05-05","WAL"
"8","2020-05-05","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","WAL"
"1","2020-05-06","VLA"
"1","2020-05-06","WAL"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","WAL"
"2","2020-05-06","VLA"
"2","2020-05-06","WAL"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"2","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","WAL"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
