"cd_scale_feel_supported_gov","d_completed","cd_regio"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","BRU"
"5","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","BRU"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"7","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"7","2020-03-25","BRU"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"7","2020-03-25","BRU"
"5","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"5","2020-03-25","BRU"
"2","2020-03-25","VLA"
"7","2020-03-25","VLA"
"0","2020-03-25","BRU"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"2","2020-03-25","BRU"
"1","2020-03-25","BRU"
"0","2020-03-25","VLA"
"7","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","VLA"
"5","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","BRU"
"5","2020-03-25","VLA"
"0","2020-03-25","BRU"
"9","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","BRU"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","BRU"
"1","2020-03-25","VLA"
"6","2020-03-25","BRU"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"9","2020-03-25","BRU"
"0","2020-03-25","VLA"
"5","2020-03-25","BRU"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","BRU"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"0","2020-03-25","BRU"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"7","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","BRU"
"3","2020-03-25","BRU"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"7","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","BRU"
"2","2020-03-25","BRU"
"9","2020-03-25","VLA"
"6","2020-03-25","VLA"
"7","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"6","2020-03-25","VLA"
"7","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"9","2020-03-25","VLA"
"2","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","BRU"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"7","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","VLA"
"3","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","BRU"
"2","2020-03-25","BRU"
"6","2020-03-25","VLA"
"7","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","BRU"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"9","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","BRU"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"5","2020-03-25","VLA"
"0","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","BRU"
"8","2020-03-25","VLA"
"4","2020-03-25","BRU"
"7","2020-03-25","VLA"
"2","2020-03-25","BRU"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"4","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"8","2020-03-25","VLA"
"0","2020-03-25","VLA"
"5","2020-03-25","BRU"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-26","VLA"
"8","2020-03-26","VLA"
"5","2020-03-26","VLA"
"9","2020-03-26","VLA"
"3","2020-03-26","VLA"
"0","2020-03-26","WAL"
"1","2020-03-26","VLA"
"4","2020-03-26","WAL"
"4","2020-03-26","WAL"
"1","2020-03-26","VLA"
"3","2020-03-26","VLA"
"0","2020-03-26","VLA"
"4","2020-03-26","WAL"
"7","2020-03-26","VLA"
"8","2020-03-26","VLA"
"4","2020-03-26","BRU"
"7","2020-03-26","VLA"
"6","2020-03-26","VLA"
"5","2020-03-26","VLA"
"6","2020-03-26","WAL"
"0","2020-03-26","VLA"
"4","2020-03-26","VLA"
"6","2020-03-26","VLA"
"3","2020-03-26","VLA"
"6","2020-03-26","BRU"
"5","2020-03-26","BRU"
"6","2020-03-26","WAL"
"2","2020-03-26","BRU"
"7","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","BRU"
"6","2020-03-26","VLA"
"2","2020-03-26","WAL"
"6","2020-03-26","VLA"
"4","2020-03-26","WAL"
"0","2020-03-26","VLA"
"6","2020-03-26","VLA"
"6","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","WAL"
"1","2020-03-26","VLA"
"0","2020-03-26","WAL"
"6","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","WAL"
"5","2020-03-26","WAL"
"0","2020-03-26","BRU"
"7","2020-03-26","VLA"
"3","2020-03-26","VLA"
"0","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","BRU"
"4","2020-03-26","BRU"
"0","2020-03-26","BRU"
"5","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","WAL"
"2","2020-03-26","BRU"
"2","2020-03-26","VLA"
"5","2020-03-26","WAL"
"0","2020-03-26","BRU"
"7","2020-03-26","WAL"
"2","2020-03-26","WAL"
"4","2020-03-26","VLA"
"3","2020-03-26","WAL"
"6","2020-03-26","VLA"
"7","2020-03-26","VLA"
"1","2020-03-26","VLA"
"8","2020-03-26","VLA"
"0","2020-03-26","VLA"
"6","2020-03-26","VLA"
"1","2020-03-26","BRU"
"0","2020-03-26","WAL"
"3","2020-03-26","VLA"
"0","2020-03-26","WAL"
"6","2020-03-26","VLA"
"1","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"2","2020-03-26","WAL"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"9","2020-03-26","WAL"
"3","2020-03-26","VLA"
"6","2020-03-26","VLA"
"2","2020-03-26","WAL"
"5","2020-03-26","VLA"
"7","2020-03-26","BRU"
"4","2020-03-26","VLA"
"5","2020-03-26","VLA"
"8","2020-03-26","VLA"
"5","2020-03-26","VLA"
"0","2020-03-26","VLA"
"8","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"5","2020-03-26","VLA"
"0","2020-03-26","VLA"
"6","2020-03-26","VLA"
"3","2020-03-26","WAL"
"8","2020-03-26","VLA"
"3","2020-03-26","VLA"
"9","2020-03-26","BRU"
"5","2020-03-26","BRU"
"3","2020-03-26","WAL"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"6","2020-03-26","VLA"
"4","2020-03-26","BRU"
"0","2020-03-26","BRU"
"2","2020-03-26","VLA"
"7","2020-03-26","VLA"
"1","2020-03-26","WAL"
"4","2020-03-26","WAL"
"1","2020-03-26","VLA"
"5","2020-03-26","VLA"
"3","2020-03-26","VLA"
"6","2020-03-26","VLA"
"6","2020-03-26","VLA"
"5","2020-03-26","WAL"
"0","2020-03-26","VLA"
"5","2020-03-26","VLA"
"2","2020-03-26","BRU"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"3","2020-03-26","WAL"
"6","2020-03-26","VLA"
"1","2020-03-26","BRU"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"5","2020-03-26","WAL"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"8","2020-03-26","VLA"
"4","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"6","2020-03-26","VLA"
"7","2020-03-26","WAL"
"7","2020-03-26","VLA"
"3","2020-03-26","VLA"
"6","2020-03-26","WAL"
"5","2020-03-26","VLA"
"1","2020-03-26","VLA"
"4","2020-03-26","VLA"
"8","2020-03-26","VLA"
"6","2020-03-26","VLA"
"3","2020-03-26","VLA"
"6","2020-03-26","VLA"
"0","2020-03-26","VLA"
"6","2020-03-26","WAL"
"0","2020-03-26","VLA"
"5","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"3","2020-03-26","BRU"
"2","2020-03-26","VLA"
"1","2020-03-26","WAL"
"3","2020-03-26","WAL"
"6","2020-03-26","VLA"
"6","2020-03-26","VLA"
"2","2020-03-26","VLA"
"5","2020-03-26","VLA"
"0","2020-03-26","VLA"
"5","2020-03-26","WAL"
"6","2020-03-26","VLA"
"0","2020-03-26","WAL"
"6","2020-03-26","VLA"
"0","2020-03-26","VLA"
"7","2020-03-26","VLA"
"6","2020-03-26","VLA"
"3","2020-03-26","WAL"
"7","2020-03-27","VLA"
"2","2020-03-27","WAL"
"2","2020-03-27","VLA"
"3","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","WAL"
"5","2020-03-27","WAL"
"2","2020-03-27","WAL"
"5","2020-03-27","BRU"
"3","2020-03-27","WAL"
"5","2020-03-27","VLA"
"7","2020-03-27","VLA"
"3","2020-03-27","VLA"
"4","2020-03-27","BRU"
"0","2020-03-27","BRU"
"4","2020-03-27","WAL"
"1","2020-03-27","VLA"
"6","2020-03-27","WAL"
"6","2020-03-27","BRU"
"5","2020-03-27","VLA"
"1","2020-03-27","WAL"
"6","2020-03-27","VLA"
"3","2020-03-27","VLA"
"2","2020-03-27","WAL"
"7","2020-03-27","VLA"
"0","2020-03-27","WAL"
"1","2020-03-27","VLA"
"4","2020-03-27","VLA"
"7","2020-03-27","WAL"
"6","2020-03-27","VLA"
"6","2020-03-27","BRU"
"6","2020-03-27","VLA"
"0","2020-03-27","VLA"
"2","2020-03-27","BRU"
"2","2020-03-27","VLA"
"8","2020-03-27","WAL"
"4","2020-03-27","VLA"
"5","2020-03-27","BRU"
"2","2020-03-27","WAL"
"0","2020-03-27","BRU"
"3","2020-03-27","VLA"
"4","2020-03-27","VLA"
"4","2020-03-27","VLA"
"0","2020-03-27","WAL"
"4","2020-03-27","VLA"
"5","2020-03-27","VLA"
"0","2020-03-27","WAL"
"5","2020-03-27","WAL"
"2","2020-03-27","WAL"
"5","2020-03-27","BRU"
"0","2020-03-27","WAL"
"2","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"8","2020-03-27","BRU"
"4","2020-03-27","WAL"
"5","2020-03-27","VLA"
"3","2020-03-27","WAL"
"2","2020-03-27","WAL"
"5","2020-03-27","WAL"
"0","2020-03-27","WAL"
"5","2020-03-27","VLA"
"9","2020-03-27","VLA"
"0","2020-03-27","VLA"
"2","2020-03-27","WAL"
"6","2020-03-27","VLA"
"5","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"4","2020-03-27","WAL"
"7","2020-03-27","VLA"
"2","2020-03-27","VLA"
"2","2020-03-27","WAL"
"4","2020-03-27","WAL"
"3","2020-03-27","VLA"
"5","2020-03-27","WAL"
"4","2020-03-27","WAL"
"2","2020-03-27","VLA"
"1","2020-03-27","VLA"
"5","2020-03-27","WAL"
"2","2020-03-27","BRU"
"7","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"3","2020-03-27","VLA"
"2","2020-03-27","WAL"
"6","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","WAL"
"5","2020-03-27","BRU"
"2","2020-03-27","BRU"
"0","2020-03-27","BRU"
"5","2020-03-27","BRU"
"4","2020-03-27","VLA"
"5","2020-03-27","WAL"
"2","2020-03-27","VLA"
"5","2020-03-27","VLA"
"0","2020-03-27","BRU"
"3","2020-03-27","VLA"
"8","2020-03-27","VLA"
"3","2020-03-27","WAL"
"6","2020-03-27","VLA"
"4","2020-03-27","VLA"
"5","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","BRU"
"4","2020-03-27","WAL"
"0","2020-03-27","VLA"
"8","2020-03-27","VLA"
"1","2020-03-27","WAL"
"2","2020-03-27","VLA"
"5","2020-03-27","BRU"
"6","2020-03-27","WAL"
"1","2020-03-27","BRU"
"9","2020-03-27","VLA"
"0","2020-03-27","VLA"
"8","2020-03-27","VLA"
"5","2020-03-27","VLA"
"2","2020-03-27","WAL"
"6","2020-03-27","VLA"
"2","2020-03-27","VLA"
"5","2020-03-27","VLA"
"8","2020-03-27","VLA"
"0","2020-03-27","WAL"
"1","2020-03-27","WAL"
"5","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"5","2020-03-27","BRU"
"5","2020-03-27","BRU"
"7","2020-03-27","VLA"
"1","2020-03-27","BRU"
"5","2020-03-27","WAL"
"1","2020-03-27","BRU"
"7","2020-03-27","VLA"
"4","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"6","2020-03-28","VLA"
"2","2020-03-28","VLA"
"9","2020-03-28","BRU"
"1","2020-03-28","VLA"
"0","2020-03-28","BRU"
"0","2020-03-28","WAL"
"1","2020-03-28","WAL"
"4","2020-03-28","WAL"
"2","2020-03-28","BRU"
"0","2020-03-28","VLA"
"1","2020-03-28","BRU"
"1","2020-03-28","VLA"
"4","2020-03-28","WAL"
"5","2020-03-28","VLA"
"4","2020-03-28","VLA"
"2","2020-03-28","VLA"
"0","2020-03-28","VLA"
"2","2020-03-28","VLA"
"6","2020-03-28","VLA"
"0","2020-03-28","BRU"
"3","2020-03-28","VLA"
"3","2020-03-28","VLA"
"0","2020-03-28","BRU"
"7","2020-03-28","VLA"
"3","2020-03-28","WAL"
"2","2020-03-28","VLA"
"3","2020-03-28","VLA"
"0","2020-03-28","BRU"
"6","2020-03-28","VLA"
"7","2020-03-28","VLA"
"2","2020-03-28","BRU"
"1","2020-03-29","BRU"
"7","2020-03-29","VLA"
"1","2020-03-29","VLA"
"7","2020-03-29","VLA"
"4","2020-03-29","BRU"
"1","2020-03-29","BRU"
"8","2020-03-29","VLA"
"0","2020-03-29","WAL"
"1","2020-03-29","WAL"
"5","2020-03-29","WAL"
"6","2020-03-29","VLA"
"3","2020-03-29","VLA"
"5","2020-03-29","VLA"
"6","2020-03-29","WAL"
"0","2020-03-29","BRU"
"6","2020-03-29","VLA"
"2","2020-03-29","BRU"
"0","2020-03-30","WAL"
"2","2020-03-30","VLA"
"4","2020-03-30","WAL"
"2","2020-03-30","BRU"
"0","2020-03-30","WAL"
"1","2020-03-30","WAL"
"7","2020-03-30","BRU"
"6","2020-03-30","WAL"
"2","2020-03-30","VLA"
"5","2020-03-30","WAL"
"0","2020-03-30","VLA"
"0","2020-03-30","WAL"
"3","2020-03-30","WAL"
"7","2020-03-30","VLA"
"8","2020-03-30","VLA"
"0","2020-03-30","WAL"
"2","2020-03-30","VLA"
"1","2020-03-30","WAL"
"2","2020-03-30","WAL"
"2","2020-03-30","WAL"
"6","2020-03-30","WAL"
"1","2020-03-30","WAL"
"6","2020-03-30","WAL"
"0","2020-03-30","WAL"
"4","2020-03-30","BRU"
"0","2020-03-30","WAL"
"0","2020-03-30","VLA"
"6","2020-03-30","WAL"
"0","2020-03-30","WAL"
"2","2020-03-30","VLA"
"2","2020-03-30","WAL"
"5","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"1","2020-03-30","WAL"
"1","2020-03-30","BRU"
"7","2020-03-30","WAL"
"1","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-31","WAL"
"4","2020-03-31","VLA"
"4","2020-03-31","WAL"
"5","2020-03-31","WAL"
"2","2020-03-31","WAL"
"6","2020-03-31","WAL"
"7","2020-03-31","VLA"
"0","2020-03-31","WAL"
"6","2020-03-31","VLA"
"2","2020-03-31","WAL"
"4","2020-03-31","VLA"
"1","2020-03-31","WAL"
"6","2020-03-31","VLA"
"0","2020-03-31","VLA"
"6","2020-03-31","WAL"
"3","2020-03-31","WAL"
"7","2020-03-31","WAL"
"1","2020-03-31","WAL"
"0","2020-03-31","VLA"
"0","2020-03-31","WAL"
"2","2020-03-31","WAL"
"2","2020-03-31","VLA"
"5","2020-03-31","VLA"
"0","2020-03-31","WAL"
"4","2020-04-01","VLA"
"6","2020-04-01","WAL"
"6","2020-04-01","WAL"
"0","2020-04-01","WAL"
"3","2020-04-01","WAL"
"3","2020-04-01","BRU"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"2","2020-04-01","VLA"
"5","2020-04-01","VLA"
"6","2020-04-01","VLA"
"2","2020-04-01","VLA"
"2","2020-04-01","BRU"
"0","2020-04-01","VLA"
"2","2020-04-01","VLA"
"6","2020-04-01","VLA"
"5","2020-04-01","VLA"
"0","2020-04-01","BRU"
"6","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","WAL"
"6","2020-04-01","VLA"
"9","2020-04-01","VLA"
"4","2020-04-01","BRU"
"7","2020-04-01","VLA"
"0","2020-04-01","BRU"
"5","2020-04-01","WAL"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"5","2020-04-01","VLA"
"3","2020-04-01","WAL"
"5","2020-04-01","WAL"
"1","2020-04-01","WAL"
"4","2020-04-01","VLA"
"0","2020-04-01","WAL"
"5","2020-04-01","VLA"
"0","2020-04-01","BRU"
"7","2020-04-01","BRU"
"2","2020-04-01","BRU"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","BRU"
"7","2020-04-01","VLA"
"4","2020-04-01","VLA"
"6","2020-04-01","VLA"
"6","2020-04-01","VLA"
"0","2020-04-01","VLA"
"7","2020-04-01","VLA"
"5","2020-04-01","WAL"
"5","2020-04-01","VLA"
"1","2020-04-01","BRU"
"4","2020-04-01","VLA"
"6","2020-04-01","VLA"
"2","2020-04-01","WAL"
"0","2020-04-01","WAL"
"3","2020-04-01","VLA"
"5","2020-04-01","VLA"
"2","2020-04-01","WAL"
"4","2020-04-01","VLA"
"2","2020-04-01","WAL"
"7","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"2","2020-04-01","WAL"
"7","2020-04-01","VLA"
"2","2020-04-01","WAL"
"4","2020-04-01","VLA"
"3","2020-04-01","VLA"
"0","2020-04-01","BRU"
"2","2020-04-01","VLA"
"4","2020-04-01","VLA"
"3","2020-04-01","VLA"
"1","2020-04-01","VLA"
"5","2020-04-01","WAL"
"7","2020-04-01","WAL"
"3","2020-04-01","VLA"
"5","2020-04-01","VLA"
"2","2020-04-01","VLA"
"5","2020-04-01","VLA"
"2","2020-04-01","VLA"
"6","2020-04-01","VLA"
"5","2020-04-01","VLA"
"0","2020-04-01","VLA"
"4","2020-04-01","VLA"
"5","2020-04-01","VLA"
"6","2020-04-01","VLA"
"6","2020-04-01","WAL"
"5","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"4","2020-04-01","VLA"
"1","2020-04-01","VLA"
"6","2020-04-01","VLA"
"8","2020-04-01","VLA"
"5","2020-04-01","WAL"
"4","2020-04-01","VLA"
"7","2020-04-01","VLA"
"5","2020-04-01","VLA"
"6","2020-04-01","VLA"
"0","2020-04-01","VLA"
"5","2020-04-01","VLA"
"0","2020-04-01","WAL"
"4","2020-04-01","VLA"
"5","2020-04-01","VLA"
"8","2020-04-01","VLA"
"2","2020-04-01","VLA"
"2","2020-04-01","WAL"
"5","2020-04-01","WAL"
"0","2020-04-01","WAL"
"5","2020-04-01","VLA"
"1","2020-04-01","VLA"
"6","2020-04-01","VLA"
"3","2020-04-01","BRU"
"8","2020-04-01","VLA"
"5","2020-04-01","VLA"
"4","2020-04-01","VLA"
"1","2020-04-01","WAL"
"0","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
