"nr_num_employees_covid19_pos","d_completed","cd_regio"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"00","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","BRU"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","WAL"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","BRU"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","WAL"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"0","2020-03-26","BRU"
"0","2020-03-26","WAL"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","BRU"
"000","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"1","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"5","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","BRU"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","BRU"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","BRU"
"0","2020-03-28","WAL"
"0","2020-03-28","VLA"
"0","2020-03-28","WAL"
"0","2020-03-28","VLA"
"0","2020-03-28","WAL"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","BRU"
"0","2020-03-28","BRU"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","BRU"
"0","2020-03-28","BRU"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","WAL"
"0","2020-03-28","VLA"
"0","2020-03-28","WAL"
"0","2020-03-28","BRU"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","BRU"
"0","2020-03-29","BRU"
"0","2020-03-29","VLA"
"0","2020-03-29","VLA"
"0","2020-03-29","VLA"
"0","2020-03-29","VLA"
"0","2020-03-29","VLA"
"0","2020-03-29","WAL"
"0","2020-03-29","WAL"
"0","2020-03-29","BRU"
"0","2020-03-29","WAL"
"0","2020-03-29","WAL"
"0","2020-03-29","VLA"
"0","2020-03-29","BRU"
"0","2020-03-29","BRU"
"0","2020-03-29","VLA"
"0","2020-03-29","BRU"
"0","2020-03-29","VLA"
"0","2020-03-30","WAL"
"1","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","VLA"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","VLA"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","BRU"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","BRU"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","VLA"
"0","2020-03-30","WAL"
"0","2020-03-30","BRU"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","BRU"
"0","2020-03-30","WAL"
"0","2020-03-30","VLA"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"1","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","WAL"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","WAL"
"0","2020-03-31","WAL"
"0","2020-03-31","VLA"
"0","2020-03-31","WAL"
"1","2020-03-31","WAL"
"0","2020-03-31","WAL"
"0","2020-03-31","WAL"
"0","2020-03-31","VLA"
"0","2020-03-31","WAL"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","WAL"
"0","2020-03-31","WAL"
"0","2020-03-31","WAL"
"0","2020-03-31","VLA"
"0","2020-03-31","WAL"
"0","2020-03-31","WAL"
"0","2020-03-31","WAL"
"0","2020-03-31","VLA"
"1","2020-03-31","VLA"
"0","2020-03-31","WAL"
"0","2020-03-31","WAL"
"00","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"1","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","WAL"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"1","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","BRU"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","WAL"
"0","2020-04-01","VLA"
