"nr_num_patients_phone_yesterday","d_completed","cd_regio"
"10","2020-03-25","VLA"
"80","2020-03-25","BRU"
"100","2020-03-25","BRU"
"20","2020-03-25","VLA"
"75","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"6","2020-03-25","VLA"
"10","2020-03-25","VLA"
"15","2020-03-25","BRU"
"20","2020-03-25","VLA"
"22","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"20","2020-03-25","VLA"
"50","2020-03-25","BRU"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"40","2020-03-25","BRU"
"20","2020-03-25","BRU"
"20","2020-03-25","VLA"
"20","2020-03-25","BRU"
"80","2020-03-25","VLA"
"12","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"50","2020-03-25","VLA"
"50","2020-03-25","VLA"
"45","2020-03-25","VLA"
"45","2020-03-25","VLA"
"15","2020-03-25","VLA"
"18","2020-03-25","VLA"
"20","2020-03-25","VLA"
"2","2020-03-25","VLA"
"20","2020-03-25","VLA"
"20","2020-03-25","VLA"
"12","2020-03-25","BRU"
"8","2020-03-25","VLA"
"25","2020-03-25","VLA"
"25","2020-03-25","VLA"
"20","2020-03-25","BRU"
"9","2020-03-25","VLA"
"25","2020-03-25","VLA"
"30","2020-03-25","VLA"
"40","2020-03-25","VLA"
"9","2020-03-25","VLA"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"40","2020-03-25","BRU"
"10","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"50","2020-03-25","VLA"
"19","2020-03-25","BRU"
"60","2020-03-25","VLA"
"8","2020-03-25","VLA"
"15","2020-03-25","BRU"
"8","2020-03-25","VLA"
"15","2020-03-25","VLA"
"25","2020-03-25","VLA"
"10","2020-03-25","VLA"
"60","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"25","2020-03-25","VLA"
"7","2020-03-25","VLA"
"60","2020-03-25","VLA"
"7","2020-03-25","VLA"
"50","2020-03-25","VLA"
"15","2020-03-25","VLA"
"30","2020-03-25","VLA"
"35","2020-03-25","VLA"
"10","2020-03-25","VLA"
"30","2020-03-25","BRU"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"15","2020-03-25","VLA"
"24","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"50","2020-03-25","VLA"
"30","2020-03-25","VLA"
"40","2020-03-25","BRU"
"50","2020-03-25","VLA"
"30","2020-03-25","VLA"
"25","2020-03-25","VLA"
"35","2020-03-25","VLA"
"9","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","BRU"
"1","2020-03-25","BRU"
"40","2020-03-25","VLA"
"50","2020-03-25","BRU"
"20","2020-03-25","VLA"
"15","2020-03-25","BRU"
"0","2020-03-25","VLA"
"10","2020-03-25","BRU"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"20","2020-03-25","VLA"
"0","2020-03-25","VLA"
"50","2020-03-25","VLA"
"15","2020-03-25","VLA"
"25","2020-03-25","VLA"
"40","2020-03-25","VLA"
"35","2020-03-25","VLA"
"6","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","BRU"
"40","2020-03-25","VLA"
"30","2020-03-25","VLA"
"10","2020-03-25","BRU"
"30","2020-03-25","VLA"
"20","2020-03-25","VLA"
"60","2020-03-25","VLA"
"18","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"22","2020-03-25","VLA"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"25","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"40","2020-03-25","VLA"
"20","2020-03-25","VLA"
"35","2020-03-25","VLA"
"15","2020-03-25","VLA"
"30","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"25","2020-03-25","VLA"
"25","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"150","2020-03-25","VLA"
"10","2020-03-25","BRU"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"6","2020-03-25","VLA"
"15","2020-03-25","VLA"
"50","2020-03-25","VLA"
"25","2020-03-25","VLA"
"40","2020-03-25","VLA"
"50","2020-03-25","VLA"
"35","2020-03-25","VLA"
"10","2020-03-25","VLA"
"18","2020-03-25","VLA"
"30","2020-03-25","VLA"
"10","2020-03-25","VLA"
"40","2020-03-25","BRU"
"30","2020-03-25","VLA"
"15","2020-03-25","VLA"
"24","2020-03-25","VLA"
"40","2020-03-25","BRU"
"50","2020-03-25","VLA"
"30","2020-03-25","VLA"
"20","2020-03-25","BRU"
"60","2020-03-25","VLA"
"15","2020-03-25","VLA"
"25","2020-03-25","VLA"
"60","2020-03-25","BRU"
"25","2020-03-25","VLA"
"12","2020-03-25","VLA"
"50","2020-03-25","VLA"
"30","2020-03-25","VLA"
"8","2020-03-25","VLA"
"30","2020-03-25","VLA"
"12","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"20","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"15","2020-03-25","BRU"
"25","2020-03-25","VLA"
"25","2020-03-25","VLA"
"10","2020-03-25","VLA"
"8","2020-03-25","VLA"
"20","2020-03-25","VLA"
"7","2020-03-25","VLA"
"25","2020-03-25","VLA"
"15","2020-03-25","VLA"
"35","2020-03-25","BRU"
"35","2020-03-25","VLA"
"45","2020-03-25","VLA"
"40","2020-03-25","VLA"
"30","2020-03-25","VLA"
"50","2020-03-25","BRU"
"15","2020-03-25","VLA"
"20","2020-03-25","BRU"
"50","2020-03-25","VLA"
"30","2020-03-25","BRU"
"25","2020-03-25","VLA"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"12","2020-03-25","VLA"
"80","2020-03-25","VLA"
"75","2020-03-25","BRU"
"20","2020-03-25","VLA"
"25","2020-03-25","VLA"
"30","2020-03-25","VLA"
"15","2020-03-25","VLA"
"30","2020-03-25","BRU"
"60","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","BRU"
"100","2020-03-25","BRU"
"10","2020-03-25","BRU"
"20","2020-03-25","VLA"
"15","2020-03-25","BRU"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"30","2020-03-25","VLA"
"50","2020-03-25","VLA"
"7","2020-03-25","VLA"
"20","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"15","2020-03-25","VLA"
"30","2020-03-25","VLA"
"25","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"20","2020-03-25","VLA"
"20","2020-03-25","VLA"
"15","2020-03-25","VLA"
"30","2020-03-25","BRU"
"20","2020-03-26","VLA"
"15","2020-03-26","VLA"
"35","2020-03-26","WAL"
"20","2020-03-26","BRU"
"20","2020-03-26","VLA"
"30","2020-03-26","VLA"
"40","2020-03-26","BRU"
"40","2020-03-26","VLA"
"5","2020-03-26","BRU"
"200","2020-03-26","WAL"
"35","2020-03-26","VLA"
"35","2020-03-26","VLA"
"30","2020-03-26","VLA"
"20","2020-03-26","VLA"
"15","2020-03-26","VLA"
"250","2020-03-26","VLA"
"50","2020-03-26","VLA"
"50","2020-03-26","VLA"
"10","2020-03-26","VLA"
"30","2020-03-26","VLA"
"20","2020-03-26","VLA"
"20","2020-03-26","WAL"
"20","2020-03-26","VLA"
"10","2020-03-26","BRU"
"20","2020-03-26","VLA"
"10","2020-03-26","WAL"
"40","2020-03-26","VLA"
"45","2020-03-26","BRU"
"70","2020-03-26","VLA"
"40","2020-03-26","WAL"
"10","2020-03-26","VLA"
"0","2020-03-26","VLA"
"35","2020-03-26","WAL"
"60","2020-03-26","VLA"
"50","2020-03-26","VLA"
"60","2020-03-26","VLA"
"30","2020-03-26","BRU"
"9","2020-03-26","BRU"
"10","2020-03-26","VLA"
"20","2020-03-26","VLA"
"60","2020-03-26","VLA"
"20","2020-03-26","VLA"
"7","2020-03-26","VLA"
"100","2020-03-26","WAL"
"25","2020-03-26","VLA"
"30","2020-03-26","WAL"
"30","2020-03-26","VLA"
"40","2020-03-26","VLA"
"6","2020-03-26","VLA"
"20","2020-03-26","WAL"
"2","2020-03-26","WAL"
"40","2020-03-26","BRU"
"25","2020-03-26","WAL"
"30","2020-03-26","VLA"
"30","2020-03-26","VLA"
"20","2020-03-26","VLA"
"100","2020-03-26","WAL"
"30","2020-03-26","VLA"
"18","2020-03-26","VLA"
"5","2020-03-26","VLA"
"40","2020-03-26","VLA"
"15","2020-03-26","VLA"
"20","2020-03-26","VLA"
"25","2020-03-26","VLA"
"20","2020-03-26","WAL"
"35","2020-03-26","WAL"
"12","2020-03-26","VLA"
"10","2020-03-26","VLA"
"50","2020-03-26","VLA"
"12","2020-03-26","VLA"
"25","2020-03-26","BRU"
"30","2020-03-26","BRU"
"40","2020-03-26","VLA"
"5","2020-03-26","VLA"
"100","2020-03-26","BRU"
"30","2020-03-26","WAL"
"20","2020-03-26","VLA"
"10","2020-03-26","VLA"
"30","2020-03-26","VLA"
"15","2020-03-26","VLA"
"23","2020-03-26","WAL"
"5","2020-03-26","VLA"
"20","2020-03-26","BRU"
"35","2020-03-26","BRU"
"15","2020-03-26","WAL"
"60","2020-03-26","WAL"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"25","2020-03-26","VLA"
"4","2020-03-26","VLA"
"6","2020-03-26","VLA"
"40","2020-03-26","WAL"
"50","2020-03-26","WAL"
"25","2020-03-26","WAL"
"5","2020-03-26","VLA"
"4","2020-03-26","VLA"
"70","2020-03-26","WAL"
"8","2020-03-26","VLA"
"0","2020-03-26","BRU"
"25","2020-03-26","WAL"
"15","2020-03-26","VLA"
"25","2020-03-26","VLA"
"20","2020-03-26","VLA"
"20","2020-03-26","VLA"
"20","2020-03-26","WAL"
"10","2020-03-26","VLA"
"50","2020-03-26","VLA"
"15","2020-03-26","VLA"
"25","2020-03-26","VLA"
"30","2020-03-26","WAL"
"40","2020-03-26","VLA"
"30","2020-03-26","WAL"
"25","2020-03-26","VLA"
"40","2020-03-26","WAL"
"20","2020-03-26","WAL"
"6","2020-03-26","VLA"
"30","2020-03-26","BRU"
"40","2020-03-26","VLA"
"5","2020-03-26","VLA"
"10","2020-03-26","VLA"
"20","2020-03-26","WAL"
"10","2020-03-26","VLA"
"25","2020-03-26","VLA"
"7","2020-03-26","VLA"
"15","2020-03-26","VLA"
"15","2020-03-26","VLA"
"25","2020-03-26","VLA"
"15","2020-03-26","VLA"
"6","2020-03-26","VLA"
"30","2020-03-26","BRU"
"17","2020-03-26","VLA"
"40","2020-03-26","BRU"
"6","2020-03-26","VLA"
"20","2020-03-26","VLA"
"30","2020-03-26","WAL"
"15","2020-03-26","VLA"
"10","2020-03-26","VLA"
"25","2020-03-26","VLA"
"20","2020-03-26","VLA"
"90","2020-03-26","WAL"
"40","2020-03-26","WAL"
"10","2020-03-26","BRU"
"30","2020-03-26","WAL"
"10","2020-03-26","VLA"
"15","2020-03-26","WAL"
"15","2020-03-26","BRU"
"10","2020-03-26","VLA"
"40","2020-03-26","WAL"
"15","2020-03-26","VLA"
"25","2020-03-26","VLA"
"10","2020-03-26","VLA"
"12","2020-03-26","VLA"
"120","2020-03-26","VLA"
"0","2020-03-26","VLA"
"15","2020-03-26","WAL"
"25","2020-03-26","VLA"
"45","2020-03-26","VLA"
"15","2020-03-26","VLA"
"20","2020-03-26","VLA"
"20","2020-03-26","VLA"
"20","2020-03-26","VLA"
"29","2020-03-26","VLA"
"15","2020-03-26","WAL"
"20","2020-03-26","VLA"
"20","2020-03-26","VLA"
"30","2020-03-26","VLA"
"5","2020-03-26","BRU"
"30","2020-03-26","WAL"
"12","2020-03-26","BRU"
"15","2020-03-26","VLA"
"45","2020-03-26","VLA"
"30","2020-03-26","VLA"
"90","2020-03-26","WAL"
"40","2020-03-26","VLA"
"25","2020-03-26","VLA"
"45","2020-03-26","VLA"
"30","2020-03-27","VLA"
"40","2020-03-27","WAL"
"150","2020-03-27","WAL"
"65","2020-03-27","VLA"
"20","2020-03-27","BRU"
"10","2020-03-27","WAL"
"10","2020-03-27","VLA"
"30","2020-03-27","WAL"
"15","2020-03-27","VLA"
"40","2020-03-27","WAL"
"30","2020-03-27","WAL"
"60","2020-03-27","BRU"
"8","2020-03-27","VLA"
"15","2020-03-27","VLA"
"15","2020-03-27","BRU"
"10","2020-03-27","VLA"
"15","2020-03-27","BRU"
"20","2020-03-27","VLA"
"50","2020-03-27","BRU"
"30","2020-03-27","VLA"
"10","2020-03-27","VLA"
"5","2020-03-27","BRU"
"40","2020-03-27","VLA"
"40","2020-03-27","WAL"
"12","2020-03-27","WAL"
"18","2020-03-27","WAL"
"20","2020-03-27","VLA"
"15","2020-03-27","VLA"
"50","2020-03-27","VLA"
"20","2020-03-27","VLA"
"15","2020-03-27","WAL"
"20","2020-03-27","BRU"
"5","2020-03-27","VLA"
"25","2020-03-27","VLA"
"20","2020-03-27","VLA"
"50","2020-03-27","VLA"
"30","2020-03-27","VLA"
"15","2020-03-27","VLA"
"25","2020-03-27","BRU"
"40","2020-03-27","BRU"
"45","2020-03-27","VLA"
"20","2020-03-27","BRU"
"50","2020-03-27","BRU"
"15","2020-03-27","VLA"
"30","2020-03-27","WAL"
"15","2020-03-27","BRU"
"23","2020-03-27","WAL"
"30","2020-03-27","VLA"
"30","2020-03-27","VLA"
"5","2020-03-27","VLA"
"20","2020-03-27","VLA"
"15","2020-03-27","VLA"
"20","2020-03-27","VLA"
"15","2020-03-27","VLA"
"15","2020-03-27","BRU"
"100","2020-03-27","WAL"
"025","2020-03-27","VLA"
"45","2020-03-27","WAL"
"5","2020-03-27","VLA"
"15","2020-03-27","VLA"
"10","2020-03-27","VLA"
"30","2020-03-27","WAL"
"30","2020-03-27","BRU"
"40","2020-03-27","VLA"
"50","2020-03-27","WAL"
"30","2020-03-27","VLA"
"20","2020-03-27","WAL"
"15","2020-03-27","WAL"
"25","2020-03-27","WAL"
"40","2020-03-27","VLA"
"1","2020-03-27","BRU"
"20","2020-03-27","VLA"
"24","2020-03-27","WAL"
"15","2020-03-27","BRU"
"15","2020-03-27","WAL"
"10","2020-03-27","VLA"
"3","2020-03-27","BRU"
"30","2020-03-27","WAL"
"25","2020-03-27","VLA"
"30","2020-03-27","VLA"
"6","2020-03-27","WAL"
"20","2020-03-27","WAL"
"30","2020-03-27","VLA"
"20","2020-03-27","VLA"
"25","2020-03-27","VLA"
"20","2020-03-27","VLA"
"16","2020-03-27","VLA"
"40","2020-03-27","WAL"
"120","2020-03-27","WAL"
"25","2020-03-27","BRU"
"50","2020-03-27","WAL"
"10","2020-03-27","VLA"
"30","2020-03-27","VLA"
"30","2020-03-27","WAL"
"60","2020-03-27","WAL"
"30","2020-03-27","VLA"
"55","2020-03-27","WAL"
"20","2020-03-27","VLA"
"50","2020-03-27","VLA"
"20","2020-03-27","BRU"
"30","2020-03-27","WAL"
"10","2020-03-27","WAL"
"60","2020-03-27","VLA"
"25","2020-03-27","WAL"
"20","2020-03-27","VLA"
"40","2020-03-27","WAL"
"30","2020-03-27","WAL"
"5","2020-03-27","VLA"
"32","2020-03-27","VLA"
"30","2020-03-27","WAL"
"3","2020-03-27","VLA"
"15","2020-03-27","WAL"
"6","2020-03-27","BRU"
"10","2020-03-27","VLA"
"10","2020-03-27","VLA"
"6","2020-03-27","WAL"
"80","2020-03-27","BRU"
"60","2020-03-27","WAL"
"2","2020-03-27","VLA"
"10","2020-03-27","VLA"
"15","2020-03-27","WAL"
"60","2020-03-27","BRU"
"15","2020-03-27","VLA"
"20","2020-03-27","WAL"
"25","2020-03-27","WAL"
"15","2020-03-27","VLA"
"40","2020-03-27","WAL"
"20","2020-03-27","VLA"
"8","2020-03-27","VLA"
"10","2020-03-27","VLA"
"20","2020-03-27","VLA"
"5","2020-03-27","VLA"
"25","2020-03-27","VLA"
"50","2020-03-27","VLA"
"30","2020-03-27","VLA"
"80","2020-03-27","VLA"
"100","2020-03-27","BRU"
"50","2020-03-27","WAL"
"60","2020-03-27","WAL"
"30","2020-03-27","WAL"
"30","2020-03-27","WAL"
"15","2020-03-27","VLA"
"10","2020-03-27","VLA"
"40","2020-03-27","BRU"
"8","2020-03-27","VLA"
"20","2020-03-27","VLA"
"15","2020-03-28","VLA"
"25","2020-03-28","BRU"
"10","2020-03-28","BRU"
"30","2020-03-28","BRU"
"30","2020-03-28","VLA"
"20","2020-03-28","BRU"
"20","2020-03-28","VLA"
"30","2020-03-28","VLA"
"11","2020-03-28","VLA"
"50","2020-03-28","WAL"
"12","2020-03-28","VLA"
"15","2020-03-28","VLA"
"50","2020-03-28","WAL"
"25","2020-03-28","VLA"
"20","2020-03-28","WAL"
"80","2020-03-28","BRU"
"55","2020-03-28","BRU"
"20","2020-03-28","WAL"
"5","2020-03-28","VLA"
"50","2020-03-28","BRU"
"40","2020-03-28","VLA"
"25","2020-03-28","VLA"
"15","2020-03-28","VLA"
"7","2020-03-28","VLA"
"10","2020-03-28","VLA"
"4","2020-03-28","VLA"
"25","2020-03-28","BRU"
"25","2020-03-28","WAL"
"40","2020-03-28","VLA"
"30","2020-03-28","VLA"
"25","2020-03-28","VLA"
"40","2020-03-29","VLA"
"20","2020-03-29","BRU"
"2","2020-03-29","VLA"
"30","2020-03-29","VLA"
"15","2020-03-29","BRU"
"15","2020-03-29","BRU"
"30","2020-03-29","WAL"
"5","2020-03-29","VLA"
"40","2020-03-29","VLA"
"50","2020-03-29","WAL"
"40","2020-03-29","WAL"
"25","2020-03-29","BRU"
"12","2020-03-29","VLA"
"30","2020-03-29","BRU"
"30","2020-03-29","VLA"
"100","2020-03-29","WAL"
"40","2020-03-29","VLA"
"60","2020-03-30","WAL"
"20","2020-03-30","VLA"
"30","2020-03-30","VLA"
"15","2020-03-30","WAL"
"30","2020-03-30","WAL"
"25","2020-03-30","WAL"
"50","2020-03-30","VLA"
"20","2020-03-30","BRU"
"50","2020-03-30","WAL"
"30","2020-03-30","VLA"
"25","2020-03-30","WAL"
"20","2020-03-30","WAL"
"45","2020-03-30","WAL"
"10","2020-03-30","WAL"
"30","2020-03-30","WAL"
"71","2020-03-30","WAL"
"25","2020-03-30","WAL"
"10","2020-03-30","BRU"
"10","2020-03-30","WAL"
"60","2020-03-30","WAL"
"25","2020-03-30","WAL"
"20","2020-03-30","BRU"
"60","2020-03-30","WAL"
"30","2020-03-30","WAL"
"10","2020-03-30","WAL"
"60","2020-03-30","WAL"
"37","2020-03-30","WAL"
"25","2020-03-30","WAL"
"10","2020-03-30","VLA"
"30","2020-03-30","WAL"
"37","2020-03-30","WAL"
"40","2020-03-30","VLA"
"40","2020-03-30","WAL"
"50","2020-03-30","WAL"
"50","2020-03-30","WAL"
"0","2020-03-30","VLA"
"20","2020-03-30","VLA"
"20","2020-03-30","BRU"
"100","2020-03-30","WAL"
"15","2020-03-31","VLA"
"45","2020-03-31","WAL"
"15","2020-03-31","WAL"
"20","2020-03-31","WAL"
"20","2020-03-31","VLA"
"10","2020-03-31","VLA"
"20","2020-03-31","WAL"
"30","2020-03-31","WAL"
"20","2020-03-31","WAL"
"5","2020-03-31","VLA"
"15","2020-03-31","VLA"
"30","2020-03-31","VLA"
"20","2020-03-31","WAL"
"46","2020-03-31","WAL"
"80","2020-03-31","WAL"
"30","2020-03-31","WAL"
"50","2020-03-31","WAL"
"0","2020-03-31","VLA"
"15","2020-03-31","WAL"
"50","2020-03-31","WAL"
"45","2020-03-31","WAL"
"10","2020-03-31","VLA"
"20","2020-03-31","WAL"
"6","2020-03-31","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","BRU"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
