"nr_num_patients_standard","d_completed","cd_regio"
"120","2020-03-25","BRU"
"150","2020-03-25","VLA"
"100","2020-03-25","VLA"
"200","2020-03-25","VLA"
"130","2020-03-25","VLA"
"180","2020-03-25","VLA"
"65","2020-03-25","VLA"
"65","2020-03-25","BRU"
"80","2020-03-25","BRU"
"35","2020-03-25","VLA"
"90","2020-03-25","VLA"
"100","2020-03-25","VLA"
"100","2020-03-25","VLA"
"70","2020-03-25","VLA"
"140","2020-03-25","VLA"
"70","2020-03-25","VLA"
"55","2020-03-25","BRU"
"100","2020-03-25","VLA"
"3","2020-03-25","VLA"
"140","2020-03-25","VLA"
"90","2020-03-25","VLA"
"100","2020-03-25","VLA"
"170","2020-03-25","VLA"
"100","2020-03-25","VLA"
"90","2020-03-25","VLA"
"150","2020-03-25","VLA"
"115","2020-03-25","VLA"
"110","2020-03-25","VLA"
"60","2020-03-25","VLA"
"100","2020-03-25","VLA"
"80","2020-03-25","VLA"
"0","2020-03-25","BRU"
"100","2020-03-25","BRU"
"50","2020-03-25","VLA"
"75","2020-03-25","VLA"
"110","2020-03-25","VLA"
"90","2020-03-25","VLA"
"70","2020-03-25","VLA"
"340","2020-03-25","VLA"
"120","2020-03-25","BRU"
"100","2020-03-25","BRU"
"75","2020-03-25","VLA"
"120","2020-03-25","VLA"
"130","2020-03-25","VLA"
"50","2020-03-25","VLA"
"60","2020-03-25","VLA"
"60","2020-03-25","BRU"
"150","2020-03-25","VLA"
"100","2020-03-25","VLA"
"220","2020-03-25","VLA"
"120","2020-03-25","VLA"
"150","2020-03-25","BRU"
"120","2020-03-25","BRU"
"150","2020-03-25","VLA"
"55","2020-03-25","VLA"
"47","2020-03-25","VLA"
"65","2020-03-25","VLA"
"70","2020-03-25","VLA"
"60","2020-03-25","VLA"
"110","2020-03-25","VLA"
"70","2020-03-25","VLA"
"165","2020-03-25","VLA"
"70","2020-03-25","VLA"
"90","2020-03-25","VLA"
"210","2020-03-25","BRU"
"130","2020-03-25","BRU"
"160","2020-03-25","VLA"
"80","2020-03-25","VLA"
"125","2020-03-25","VLA"
"90","2020-03-25","VLA"
"90","2020-03-25","VLA"
"80","2020-03-25","VLA"
"55","2020-03-25","VLA"
"120","2020-03-25","VLA"
"90","2020-03-25","VLA"
"110","2020-03-25","VLA"
"80","2020-03-25","VLA"
"60","2020-03-25","VLA"
"70","2020-03-25","VLA"
"110","2020-03-25","VLA"
"125","2020-03-25","VLA"
"100","2020-03-25","BRU"
"100","2020-03-25","BRU"
"70","2020-03-25","VLA"
"150","2020-03-25","VLA"
"120","2020-03-25","VLA"
"200","2020-03-25","VLA"
"100","2020-03-25","VLA"
"80","2020-03-25","BRU"
"60","2020-03-25","BRU"
"100","2020-03-25","VLA"
"125","2020-03-25","VLA"
"70","2020-03-25","VLA"
"200","2020-03-25","BRU"
"100","2020-03-25","BRU"
"80","2020-03-25","BRU"
"115","2020-03-25","BRU"
"80","2020-03-25","VLA"
"140","2020-03-25","VLA"
"200","2020-03-25","VLA"
"75","2020-03-25","VLA"
"85","2020-03-25","VLA"
"100","2020-03-25","VLA"
"110","2020-03-25","VLA"
"45","2020-03-25","VLA"
"125","2020-03-25","VLA"
"115","2020-03-25","VLA"
"60","2020-03-25","VLA"
"180","2020-03-25","VLA"
"80","2020-03-25","BRU"
"55","2020-03-25","BRU"
"110","2020-03-25","VLA"
"160","2020-03-25","VLA"
"110","2020-03-25","VLA"
"150","2020-03-25","VLA"
"90","2020-03-25","VLA"
"175","2020-03-25","VLA"
"85","2020-03-25","VLA"
"195","2020-03-25","VLA"
"150","2020-03-25","VLA"
"120","2020-03-25","VLA"
"120","2020-03-25","VLA"
"110","2020-03-25","VLA"
"120","2020-03-25","VLA"
"100","2020-03-25","VLA"
"85","2020-03-25","VLA"
"200","2020-03-25","VLA"
"90","2020-03-25","VLA"
"60","2020-03-25","VLA"
"85","2020-03-25","VLA"
"90","2020-03-25","VLA"
"60","2020-03-25","VLA"
"120","2020-03-25","VLA"
"100","2020-03-25","VLA"
"200","2020-03-25","VLA"
"90","2020-03-25","VLA"
"100","2020-03-25","VLA"
"300","2020-03-25","BRU"
"130","2020-03-25","BRU"
"110","2020-03-25","VLA"
"180","2020-03-25","BRU"
"130","2020-03-25","VLA"
"80","2020-03-25","BRU"
"150","2020-03-25","BRU"
"100","2020-03-25","VLA"
"90","2020-03-25","BRU"
"180","2020-03-25","VLA"
"80","2020-03-25","VLA"
"45","2020-03-25","VLA"
"180","2020-03-25","VLA"
"160","2020-03-25","VLA"
"100","2020-03-25","VLA"
"100","2020-03-25","VLA"
"120","2020-03-25","VLA"
"220","2020-03-25","VLA"
"80","2020-03-25","VLA"
"180","2020-03-25","VLA"
"210","2020-03-25","VLA"
"120","2020-03-25","VLA"
"110","2020-03-25","BRU"
"65","2020-03-25","VLA"
"155","2020-03-25","VLA"
"220","2020-03-25","VLA"
"60","2020-03-25","VLA"
"90","2020-03-25","VLA"
"60","2020-03-25","VLA"
"130","2020-03-25","VLA"
"85","2020-03-25","VLA"
"130","2020-03-25","BRU"
"70","2020-03-25","VLA"
"70","2020-03-25","VLA"
"120","2020-03-25","VLA"
"130","2020-03-25","VLA"
"200","2020-03-25","VLA"
"140","2020-03-25","VLA"
"150","2020-03-25","VLA"
"80","2020-03-25","VLA"
"80","2020-03-25","VLA"
"100","2020-03-25","VLA"
"60","2020-03-25","VLA"
"120","2020-03-25","VLA"
"250","2020-03-25","VLA"
"70","2020-03-25","VLA"
"100","2020-03-25","VLA"
"95","2020-03-25","VLA"
"160","2020-03-25","VLA"
"150","2020-03-25","BRU"
"110","2020-03-25","VLA"
"130","2020-03-25","VLA"
"160","2020-03-25","VLA"
"110","2020-03-25","VLA"
"150","2020-03-25","VLA"
"70","2020-03-25","BRU"
"130","2020-03-25","VLA"
"200","2020-03-25","VLA"
"70","2020-03-25","VLA"
"80","2020-03-25","VLA"
"30","2020-03-25","VLA"
"70","2020-03-25","VLA"
"150","2020-03-25","VLA"
"100","2020-03-25","VLA"
"150","2020-03-25","VLA"
"130","2020-03-25","VLA"
"75","2020-03-25","VLA"
"140","2020-03-25","VLA"
"170","2020-03-25","VLA"
"120","2020-03-25","VLA"
"165","2020-03-25","VLA"
"110","2020-03-25","VLA"
"150","2020-03-25","VLA"
"115","2020-03-25","VLA"
"100","2020-03-25","VLA"
"80","2020-03-25","VLA"
"80","2020-03-25","BRU"
"80","2020-03-25","VLA"
"80","2020-03-25","VLA"
"100","2020-03-25","VLA"
"60","2020-03-25","VLA"
"65","2020-03-25","VLA"
"101","2020-03-25","BRU"
"100","2020-03-25","BRU"
"220","2020-03-25","VLA"
"100","2020-03-25","VLA"
"125","2020-03-25","VLA"
"140","2020-03-25","VLA"
"70","2020-03-25","VLA"
"100","2020-03-25","VLA"
"70","2020-03-25","VLA"
"80","2020-03-25","VLA"
"130","2020-03-25","VLA"
"50","2020-03-25","VLA"
"110","2020-03-25","BRU"
"185","2020-03-25","BRU"
"120","2020-03-25","VLA"
"150","2020-03-25","VLA"
"100","2020-03-25","VLA"
"90","2020-03-25","VLA"
"180","2020-03-25","VLA"
"115","2020-03-25","VLA"
"55","2020-03-26","WAL"
"100","2020-03-26","VLA"
"50","2020-03-26","WAL"
"75","2020-03-26","WAL"
"85","2020-03-26","VLA"
"90","2020-03-26","VLA"
"80","2020-03-26","VLA"
"70","2020-03-26","BRU"
"100","2020-03-26","VLA"
"150","2020-03-26","BRU"
"200","2020-03-26","BRU"
"60","2020-03-26","BRU"
"90","2020-03-26","VLA"
"70","2020-03-26","VLA"
"100","2020-03-26","BRU"
"70","2020-03-26","VLA"
"90","2020-03-26","VLA"
"50","2020-03-26","BRU"
"170","2020-03-26","VLA"
"88","2020-03-26","WAL"
"150","2020-03-26","WAL"
"120","2020-03-26","VLA"
"50","2020-03-26","VLA"
"70","2020-03-26","WAL"
"100","2020-03-26","VLA"
"100","2020-03-26","VLA"
"100","2020-03-26","VLA"
"90","2020-03-26","VLA"
"70","2020-03-26","VLA"
"180","2020-03-26","VLA"
"85","2020-03-26","WAL"
"110","2020-03-26","VLA"
"120","2020-03-26","VLA"
"50","2020-03-26","BRU"
"110","2020-03-26","VLA"
"85","2020-03-26","VLA"
"60","2020-03-26","VLA"
"100","2020-03-26","VLA"
"210","2020-03-26","VLA"
"75","2020-03-26","VLA"
"180","2020-03-26","VLA"
"55","2020-03-26","BRU"
"1.5","2020-03-26","WAL"
"120","2020-03-26","BRU"
"150","2020-03-26","VLA"
"60","2020-03-26","VLA"
"150","2020-03-26","VLA"
"110","2020-03-26","VLA"
"100","2020-03-26","VLA"
"180","2020-03-26","VLA"
"100","2020-03-26","BRU"
"130","2020-03-26","VLA"
"65","2020-03-26","VLA"
"80","2020-03-26","VLA"
"160","2020-03-26","WAL"
"85","2020-03-26","WAL"
"70","2020-03-26","WAL"
"100","2020-03-26","WAL"
"70","2020-03-26","VLA"
"140","2020-03-26","BRU"
"130","2020-03-26","VLA"
"170","2020-03-26","VLA"
"140","2020-03-26","WAL"
"55","2020-03-26","VLA"
"10","2020-03-26","VLA"
"50","2020-03-26","WAL"
"85","2020-03-26","VLA"
"120","2020-03-26","VLA"
"120","2020-03-26","VLA"
"125","2020-03-26","VLA"
"130","2020-03-26","BRU"
"120","2020-03-26","VLA"
"80","2020-03-26","VLA"
"125","2020-03-26","VLA"
"120","2020-03-26","VLA"
"175","2020-03-26","WAL"
"50","2020-03-26","BRU"
"300","2020-03-26","BRU"
"130","2020-03-26","VLA"
"70","2020-03-26","WAL"
"80","2020-03-26","WAL"
"100","2020-03-26","WAL"
"65","2020-03-26","VLA"
"75","2020-03-26","WAL"
"125","2020-03-26","VLA"
"70","2020-03-26","WAL"
"75","2020-03-26","VLA"
"75","2020-03-26","VLA"
"80","2020-03-26","WAL"
"120","2020-03-26","WAL"
"150","2020-03-26","VLA"
"100","2020-03-26","VLA"
"60","2020-03-26","VLA"
"140","2020-03-26","VLA"
"400","2020-03-26","BRU"
"80","2020-03-26","VLA"
"160","2020-03-26","VLA"
"200","2020-03-26","VLA"
"280","2020-03-26","WAL"
"100","2020-03-26","WAL"
"100","2020-03-26","VLA"
"70","2020-03-26","VLA"
"65","2020-03-26","VLA"
"150","2020-03-26","WAL"
"80","2020-03-26","VLA"
"120","2020-03-26","BRU"
"80","2020-03-26","VLA"
"70","2020-03-26","VLA"
"90","2020-03-26","WAL"
"100","2020-03-26","VLA"
"100","2020-03-26","VLA"
"140","2020-03-26","WAL"
"80","2020-03-26","VLA"
"90","2020-03-26","BRU"
"150","2020-03-26","VLA"
"90","2020-03-26","VLA"
"125","2020-03-26","VLA"
"130","2020-03-26","VLA"
"180","2020-03-26","VLA"
"50","2020-03-26","WAL"
"50","2020-03-26","WAL"
"130","2020-03-26","VLA"
"75","2020-03-26","WAL"
"50","2020-03-26","VLA"
"150","2020-03-26","VLA"
"100","2020-03-26","VLA"
"180","2020-03-26","WAL"
"70","2020-03-26","VLA"
"100","2020-03-26","WAL"
"70","2020-03-26","VLA"
"160","2020-03-26","VLA"
"65","2020-03-26","WAL"
"120","2020-03-26","VLA"
"100","2020-03-26","VLA"
"35","2020-03-26","BRU"
"45","2020-03-26","VLA"
"60","2020-03-26","VLA"
"65","2020-03-26","VLA"
"70","2020-03-26","WAL"
"100","2020-03-26","VLA"
"90","2020-03-26","VLA"
"100","2020-03-26","VLA"
"25","2020-03-26","WAL"
"0","2020-03-26","VLA"
"100","2020-03-26","BRU"
"50","2020-03-26","VLA"
"90","2020-03-26","BRU"
"40","2020-03-26","VLA"
"220","2020-03-26","VLA"
"70","2020-03-26","VLA"
"120","2020-03-26","VLA"
"130","2020-03-26","VLA"
"150","2020-03-26","VLA"
"175","2020-03-26","VLA"
"90","2020-03-26","VLA"
"110","2020-03-26","VLA"
"75","2020-03-26","VLA"
"130","2020-03-26","WAL"
"105","2020-03-26","VLA"
"70","2020-03-26","VLA"
"50","2020-03-26","WAL"
"55","2020-03-26","VLA"
"60","2020-03-26","VLA"
"165","2020-03-26","VLA"
"120","2020-03-26","VLA"
"100","2020-03-26","BRU"
"130","2020-03-26","VLA"
"85","2020-03-26","VLA"
"90","2020-03-26","VLA"
"140","2020-03-26","VLA"
"80","2020-03-26","VLA"
"170","2020-03-26","WAL"
"110","2020-03-26","VLA"
"65","2020-03-26","VLA"
"75","2020-03-26","VLA"
"110","2020-03-26","WAL"
"37","2020-03-27","VLA"
"130","2020-03-27","VLA"
"130","2020-03-27","BRU"
"125","2020-03-27","VLA"
"90","2020-03-27","VLA"
"150","2020-03-27","WAL"
"56","2020-03-27","VLA"
"3","2020-03-27","BRU"
"80","2020-03-27","WAL"
"75","2020-03-27","VLA"
"70","2020-03-27","VLA"
"50","2020-03-27","VLA"
"100","2020-03-27","BRU"
"150","2020-03-27","WAL"
"100","2020-03-27","WAL"
"180","2020-03-27","VLA"
"60","2020-03-27","BRU"
"100","2020-03-27","VLA"
"70","2020-03-27","VLA"
"80","2020-03-27","WAL"
"50","2020-03-27","WAL"
"90","2020-03-27","WAL"
"35","2020-03-27","VLA"
"100","2020-03-27","VLA"
"120","2020-03-27","VLA"
"120","2020-03-27","VLA"
"110","2020-03-27","WAL"
"70","2020-03-27","WAL"
"150","2020-03-27","VLA"
"150","2020-03-27","VLA"
"50","2020-03-27","WAL"
"90","2020-03-27","WAL"
"90","2020-03-27","VLA"
"150","2020-03-27","WAL"
"85","2020-03-27","VLA"
"150","2020-03-27","VLA"
"160","2020-03-27","BRU"
"170","2020-03-27","WAL"
"210","2020-03-27","BRU"
"1","2020-03-27","BRU"
"70","2020-03-27","WAL"
"70","2020-03-27","WAL"
"120","2020-03-27","VLA"
"60","2020-03-27","BRU"
"40","2020-03-27","WAL"
"80","2020-03-27","VLA"
"180","2020-03-27","VLA"
"130","2020-03-27","BRU"
"110","2020-03-27","VLA"
"100","2020-03-27","VLA"
"150","2020-03-27","BRU"
"70","2020-03-27","BRU"
"110","2020-03-27","VLA"
"200","2020-03-27","WAL"
"100","2020-03-27","VLA"
"90","2020-03-27","VLA"
"75","2020-03-27","BRU"
"70","2020-03-27","WAL"
"75","2020-03-27","WAL"
"3000","2020-03-27","VLA"
"85","2020-03-27","BRU"
"80","2020-03-27","WAL"
"140","2020-03-27","WAL"
"75","2020-03-27","VLA"
"75","2020-03-27","WAL"
"150","2020-03-27","VLA"
"70","2020-03-27","VLA"
"110","2020-03-27","BRU"
"80","2020-03-27","BRU"
"180","2020-03-27","WAL"
"120","2020-03-27","VLA"
"200","2020-03-27","WAL"
"100","2020-03-27","VLA"
"40","2020-03-27","VLA"
"41","2020-03-27","WAL"
"110","2020-03-27","WAL"
"50","2020-03-27","WAL"
"50","2020-03-27","VLA"
"120","2020-03-27","VLA"
"70","2020-03-27","WAL"
"75","2020-03-27","VLA"
"100","2020-03-27","VLA"
"90","2020-03-27","VLA"
"40","2020-03-27","WAL"
"65","2020-03-27","VLA"
"110","2020-03-27","BRU"
"100","2020-03-27","WAL"
"80","2020-03-27","WAL"
"90","2020-03-27","VLA"
"80","2020-03-27","WAL"
"550","2020-03-27","BRU"
"200","2020-03-27","WAL"
"85","2020-03-27","WAL"
"250","2020-03-27","WAL"
"25","2020-03-27","WAL"
"120","2020-03-27","VLA"
"130","2020-03-27","VLA"
"50","2020-03-27","VLA"
"100","2020-03-27","VLA"
"75","2020-03-27","BRU"
"175","2020-03-27","VLA"
"140","2020-03-27","VLA"
"70","2020-03-27","VLA"
"90","2020-03-27","WAL"
"60","2020-03-27","WAL"
"200","2020-03-27","BRU"
"100","2020-03-27","VLA"
"80","2020-03-27","BRU"
"70","2020-03-27","VLA"
"40","2020-03-27","WAL"
"200","2020-03-27","VLA"
"110","2020-03-27","VLA"
"70","2020-03-27","WAL"
"180","2020-03-27","VLA"
"60","2020-03-27","BRU"
"60","2020-03-27","VLA"
"120","2020-03-27","VLA"
"100","2020-03-27","VLA"
"80","2020-03-27","BRU"
"80","2020-03-27","VLA"
"90","2020-03-27","WAL"
"90","2020-03-27","WAL"
"90","2020-03-27","VLA"
"36","2020-03-27","VLA"
"80","2020-03-27","VLA"
"65","2020-03-27","WAL"
"31","2020-03-27","WAL"
"80","2020-03-27","VLA"
"110","2020-03-27","VLA"
"65","2020-03-27","VLA"
"200","2020-03-27","BRU"
"45","2020-03-27","VLA"
"120","2020-03-27","WAL"
"70","2020-03-27","VLA"
"60","2020-03-27","VLA"
"90","2020-03-27","WAL"
"135","2020-03-27","BRU"
"140","2020-03-27","VLA"
"80","2020-03-27","VLA"
"60","2020-03-27","VLA"
"100","2020-03-27","VLA"
"100","2020-03-27","WAL"
"50","2020-03-27","VLA"
"65","2020-03-27","VLA"
"100","2020-03-27","VLA"
"250","2020-03-27","VLA"
"120","2020-03-28","VLA"
"85","2020-03-28","VLA"
"100","2020-03-28","VLA"
"130","2020-03-28","VLA"
"100","2020-03-28","VLA"
"230","2020-03-28","BRU"
"90","2020-03-28","WAL"
"70","2020-03-28","VLA"
"100","2020-03-28","VLA"
"70","2020-03-28","VLA"
"80","2020-03-28","BRU"
"60","2020-03-28","BRU"
"70","2020-03-28","VLA"
"140","2020-03-28","BRU"
"300","2020-03-28","BRU"
"130","2020-03-28","WAL"
"160","2020-03-28","VLA"
"100","2020-03-28","VLA"
"70","2020-03-28","VLA"
"80","2020-03-28","VLA"
"100","2020-03-28","VLA"
"100","2020-03-28","BRU"
"85","2020-03-28","VLA"
"40","2020-03-28","VLA"
"60","2020-03-28","BRU"
"115","2020-03-28","VLA"
"60","2020-03-28","WAL"
"85","2020-03-28","VLA"
"150","2020-03-28","BRU"
"30","2020-03-28","WAL"
"50","2020-03-28","WAL"
"150","2020-03-29","VLA"
"230","2020-03-29","VLA"
"130","2020-03-29","VLA"
"100","2020-03-29","WAL"
"130","2020-03-29","BRU"
"100","2020-03-29","VLA"
"50","2020-03-29","VLA"
"80","2020-03-29","BRU"
"110","2020-03-29","VLA"
"90","2020-03-29","WAL"
"85","2020-03-29","BRU"
"150","2020-03-29","VLA"
"100","2020-03-29","BRU"
"130","2020-03-29","VLA"
"95","2020-03-29","WAL"
"150","2020-03-29","WAL"
"200","2020-03-29","BRU"
"200","2020-03-30","WAL"
"200","2020-03-30","WAL"
"70","2020-03-30","WAL"
"140","2020-03-30","WAL"
"300","2020-03-30","WAL"
"130","2020-03-30","WAL"
"170","2020-03-30","WAL"
"120","2020-03-30","BRU"
"100","2020-03-30","WAL"
"100","2020-03-30","WAL"
"80","2020-03-30","VLA"
"60","2020-03-30","WAL"
"140","2020-03-30","WAL"
"80","2020-03-30","WAL"
"60","2020-03-30","WAL"
"70","2020-03-30","VLA"
"100","2020-03-30","WAL"
"55","2020-03-30","VLA"
"180","2020-03-30","BRU"
"250","2020-03-30","WAL"
"60","2020-03-30","WAL"
"150","2020-03-30","WAL"
"250","2020-03-30","WAL"
"110","2020-03-30","VLA"
"130","2020-03-30","WAL"
"98","2020-03-30","VLA"
"200","2020-03-30","WAL"
"50","2020-03-30","WAL"
"160","2020-03-30","WAL"
"100","2020-03-30","WAL"
"100","2020-03-30","BRU"
"85","2020-03-30","BRU"
"180","2020-03-30","WAL"
"100","2020-03-30","VLA"
"145","2020-03-30","WAL"
"110","2020-03-30","VLA"
"70","2020-03-30","VLA"
"60","2020-03-30","WAL"
"100","2020-03-30","WAL"
"90","2020-03-31","WAL"
"100","2020-03-31","WAL"
"60","2020-03-31","VLA"
"60","2020-03-31","VLA"
"110","2020-03-31","VLA"
"140","2020-03-31","WAL"
"50","2020-03-31","VLA"
"70","2020-03-31","VLA"
"200","2020-03-31","WAL"
"150","2020-03-31","WAL"
"160","2020-03-31","WAL"
"120","2020-03-31","WAL"
"100","2020-03-31","VLA"
"170","2020-03-31","WAL"
"120","2020-03-31","WAL"
"130","2020-03-31","VLA"
"100","2020-03-31","WAL"
"170","2020-03-31","WAL"
"125","2020-03-31","WAL"
"200","2020-03-31","WAL"
"120","2020-03-31","VLA"
"200","2020-03-31","WAL"
"100","2020-03-31","VLA"
"80","2020-03-31","WAL"
"70","2020-04-01","WAL"
"60","2020-04-01","VLA"
"60","2020-04-01","BRU"
"100","2020-04-01","VLA"
"60","2020-04-01","WAL"
"100","2020-04-01","VLA"
"180","2020-04-01","VLA"
"160","2020-04-01","VLA"
"65","2020-04-01","VLA"
"70","2020-04-01","WAL"
"120","2020-04-01","VLA"
"50","2020-04-01","VLA"
"90","2020-04-01","WAL"
"85","2020-04-01","VLA"
"85","2020-04-01","WAL"
"150","2020-04-01","BRU"
"100","2020-04-01","VLA"
"110","2020-04-01","VLA"
"100","2020-04-01","VLA"
"110","2020-04-01","WAL"
"150","2020-04-01","VLA"
"100","2020-04-01","WAL"
"100","2020-04-01","VLA"
"150","2020-04-01","VLA"
"120","2020-04-01","VLA"
"110","2020-04-01","WAL"
"110","2020-04-01","VLA"
"90","2020-04-01","WAL"
"80","2020-04-01","BRU"
"230","2020-04-01","WAL"
"130","2020-04-01","VLA"
"200","2020-04-01","VLA"
"85","2020-04-01","VLA"
"90","2020-04-01","WAL"
"135","2020-04-01","VLA"
"80","2020-04-01","WAL"
"85","2020-04-01","VLA"
"65","2020-04-01","VLA"
"120","2020-04-01","VLA"
"150","2020-04-01","VLA"
"130","2020-04-01","BRU"
"110","2020-04-01","VLA"
"70","2020-04-01","VLA"
"120","2020-04-01","VLA"
"90","2020-04-01","BRU"
"180","2020-04-01","VLA"
"90","2020-04-01","VLA"
"105","2020-04-01","VLA"
"60","2020-04-01","WAL"
"120","2020-04-01","VLA"
"110","2020-04-01","WAL"
"70","2020-04-01","WAL"
"160","2020-04-01","VLA"
"85","2020-04-01","WAL"
"80","2020-04-01","BRU"
"65","2020-04-01","VLA"
"60","2020-04-01","VLA"
"200","2020-04-01","VLA"
"100","2020-04-01","VLA"
"100","2020-04-01","VLA"
"110","2020-04-01","VLA"
"50","2020-04-01","VLA"
"220","2020-04-01","BRU"
"100","2020-04-01","VLA"
"165","2020-04-01","WAL"
"120","2020-04-01","VLA"
"100","2020-04-01","VLA"
"70","2020-04-01","VLA"
"85","2020-04-01","WAL"
"80","2020-04-01","WAL"
"40","2020-04-01","VLA"
"170","2020-04-01","VLA"
"200","2020-04-01","VLA"
"40","2020-04-01","VLA"
"150","2020-04-01","BRU"
"80","2020-04-01","VLA"
"135","2020-04-01","VLA"
"150","2020-04-01","VLA"
"60","2020-04-01","WAL"
"85","2020-04-01","WAL"
"220","2020-04-01","WAL"
"50","2020-04-01","VLA"
"125","2020-04-01","VLA"
"100","2020-04-01","BRU"
"80","2020-04-01","WAL"
"120","2020-04-01","VLA"
"225","2020-04-01","VLA"
"125","2020-04-01","VLA"
"60","2020-04-01","VLA"
"140","2020-04-01","VLA"
"50","2020-04-01","VLA"
"125","2020-04-01","VLA"
"100","2020-04-01","VLA"
"200","2020-04-01","WAL"
"100","2020-04-01","VLA"
"150","2020-04-01","WAL"
"100","2020-04-01","VLA"
"170","2020-04-01","BRU"
"80","2020-04-01","VLA"
"110","2020-04-01","WAL"
"100","2020-04-01","WAL"
"80","2020-04-01","VLA"
"80","2020-04-01","VLA"
"160","2020-04-01","BRU"
"120","2020-04-01","VLA"
"75","2020-04-01","VLA"
"100","2020-04-01","WAL"
"80","2020-04-01","VLA"
"55","2020-04-01","VLA"
"140","2020-04-01","VLA"
"150","2020-04-01","WAL"
"90","2020-04-01","VLA"
"150","2020-04-01","VLA"
"140","2020-04-01","VLA"
"200","2020-04-01","VLA"
"80","2020-04-01","VLA"
"110","2020-04-01","VLA"
"85","2020-04-01","VLA"
"90","2020-04-01","VLA"
"50","2020-04-01","VLA"
